Word,Count
makes,1.00
death!,1.00
scratch;,1.00
beginners,1.00
these,1.00
cousin,1.00
heaven,1.00
beaten,1.00
fight;,1.00
book,1.00
part,1.00
gone,2.00
began,1.00
villain.,1.00
haste,2.00
determine,1.00
Consort!,1.00
a-bleeding;,1.00
be,12.00
fray?,2.00
Help,1.00
price,1.00
Mercutio!,1.00
confines,1.00
coldly,1.00
mood,1.00
cats,1.00
know'st,1.00
away!,1.00
fun,1.00
but,13.00
wakened,1.00
Else,1.00
Where,2.00
art,6.00
me;,3.00
nor,2.00
calm,2.00
But,4.00
occasion,1.00
slew,4.00
fiddlestick;,1.00
Nor,1.00
fall,1.00
O,10.00
unruly,1.00
Retorts,1.00
bold,2.00
at,1.00
submission!,1.00
Not,1.00
me?,1.00
aloud,1.00
meat,1.00
Till,1.00
fortune's,1.00
friend;,1.00
give,1.00
Staying,1.00
may,1.00
passado.,1.00
find,2.00
points,2.00
simple!,1.00
He,1.00
justice,1.00
or,4.00
peppered,4.00
urged,1.00
minstrels,1.00
I,30.00
heads,30.00
Juliet,30.00
lies,2.00
else,1.00
quarrelling!,1.00
see,1.00
Affection,1.00
of,27.00
Capulets,1.00
company:,1.00
ours,1.00
place.,1.00
hence:,1.00
Or,2.00
woe,2.00
Capulet,2.00
gaze,1.00
fool!,1.00
meet,1.00
Hath,1.00
Italy,1.00
pluck,1.00
excuses;,1.00
manage,1.00
church-door;,1.00
quarrels,1.00
back,4.00
rapier,1.00
claps,1.00
flies,1.00
breast,1.00
ran,2.00
fly.,1.00
Montague;,1.00
No,1.00
you,1.00
rat,1.00
temper,1.00
for,19.00
Citizens,19.00
indeed,1.00
did,3.00
quarrel?,1.00
hence.,1.00
gallant,1.00
mine:,1.00
dishonourable,1.00
draws,1.00
withal,1.00
c,1.00
child!,1.00
brawls,1.00
carries,1.00
serve:,1.00
quarrelled,1.00
doublet,1.00
abroad,1.00
was,3.00
eye,2.00
egg,2.00
do,2.00
drybeat,1.00
hit,1.00
no,4.00
steel,1.00
that,1.00
art,1.00
mine,1.00
